2	10	128794.839245	128796.348041
2	8	128799.306660	128800.500656
6	3	128803.822028	128806.535702
1	0	128808.306073	128809.806036
2	2	128809.905566	128812.176432
9	5	128814.321336	128816.019124
1	0	128818.821393	128819.806036
8	2	128820.087746	128822.303395
5	5	128824.321570	128825.875137
1	0	128828.853629	128832.306036
9	3	128832.637565	128834.574845
1	0	128836.852965	128837.306036
8	3	128837.536575	128839.468698
1	0	128841.819717	128846.806036
4	7	128846.969733	128848.200946
1	0	128851.318753	128852.806036
3	7	128852.985538	128853.716930
1	0	128857.319208	128857.806036
7	2	128858.051639	128859.403471
1	0	128862.318878	128862.806036
4	4	128863.018084	128864.286153
6	4	128867.317510	128868.470785
1	0	128871.817309	128873.306036
2	7	128873.383820	128875.002941
1	0	128877.817515	128879.806036
3	5	128880.000471	128881.057834
1	0	128884.317327	128885.306036
3	1	128885.482957	128886.716394
1	0	128889.816899	128890.806036
2	3	128890.949342	128892.159352
1	0	128895.315764	128895.806036
5	8	128896.049015	128897.016060
1	0	128900.316378	128903.806036
2	4	128903.981901	128905.046431
3	8	128908.314895	128909.368527
1	0	128912.848309	128913.306036
2	9	128913.498676	128914.856994
1	0	128917.814212	128919.306036
6	10	128919.497498	128921.447160
1	0	128923.813830	128928.306036
2	1	128928.480142	128930.389985
9	6	128932.846431	128935.224077
1	0	128937.312801	128938.806036
6	1	128939.046170	128941.662671
1	0	128943.312385	128946.806036
2	6	128946.845542	128948.651196
6	7	128951.312325	128952.815297
7	8	128955.812559	128958.730972
5	1	128960.311936	128962.893613
1	0	128964.844685	128965.806036
2	5	128966.011138	128968.049143
1	0	128970.310700	128973.306036
8	5	128973.543769	128975.787061
6	8	128977.810146	128978.719942
1	0	128982.310883	128985.806036
5	6	128986.143305	128987.265131
2	8	128990.309502	128992.035760
1	0	128994.859096	128998.806036
2	1	128999.075954	129000.831913
7	4	129003.308984	129004.851082
1	0	129007.808350	129010.306036
9	8	129010.558049	129012.552843
5	10	129014.841093	129015.890858
1	0	129019.323979	129022.306036
3	9	129022.607036	129023.913171
1	0	129026.856784	129027.806036
8	9	129028.140049	129030.506305
1	0	129032.323491	129034.306036
4	6	129034.706412	129036.671771
8	6	129038.839421	129040.279908
1	0	129043.306410	129048.806036
6	6	129049.205489	129050.642921
1	0	129053.321827	129058.806036
2	2	129058.904821	129060.268064
1	0	129063.321261	129065.306036
7	7	129065.470835	129067.223924
7	5	129069.820542	129070.970898
7	10	129074.320350	129075.810684
7	3	129078.853364	129080.117324
5	2	129083.319790	129084.754293
5	4	129087.820265	129088.587941
1	0	129092.319973	129094.306036
9	10	129094.536489	129095.634870
1	0	129098.852140	129102.806036
7	9	129103.101741	129103.950672
1	0	129107.318129	129112.306036
4	9	129112.617724	129113.609897
1	0	129116.834061	129118.806036
